Z,A,BE (keV),error prefix (keV),O,N,BE/A (keV)
52,119,1006985.875,7.973,1,67,8462.066
52,120,1017244.125,3.12,1,68,8477.034
52,121,1024492.813,25.894,1,69,8466.883
52,122,1034333.063,1.464,1,70,8478.14
52,123,1041262.125,1.476,1,71,8465.546
52,124,1050686.625,1.488,1,72,8473.279
52,125,1057255.625,1.5,1,73,8458.045
52,126,1066369.25,1.512,1,74,8463.248
52,127,1072657,1.524,1,75,8446.118
52,128,1081440.25,0.896,1,76,8448.752
52,129,1087522.75,0.903,1,77,8430.409
52,130,1095942.125,0,1,78,8430.324
52,131,1101871.625,0.131,1,79,8411.233
52,132,1109920.125,3.432,1,80,8408.485
52,133,1115740.375,2.128,1,81,8389.025
52,134,1123408.125,2.68,1,82,8383.643
52,135,1126674.625,1.755,1,83,8345.738
52,136,1131442.25,2.312,1,84,8319.429
52,137,1134392.25,2.055,1,85,8280.235
52,138,1138855.75,3.726,1,86,8252.578
52,139,1141436.25,3.475,1,87,8211.771
52,140,1145878.625,62.44,1,88,8184.847
52,141,1147881,-423,1,89,8141
52,142,1151762,-568,1,90,8111
52,143,1153724,-572,1,91,8068
53,107,871622,-321,1,54,8146
53,108,882887.438,132.3,1,55,8174.884
53,109,895981.688,6.758,1,56,8220.016
53,110,906844.75,50.6,1,57,8244.043
53,111,919405.625,4.773,1,58,8282.934
53,112,929586.438,10.192,1,59,8299.879
53,113,941714,8.023,1,60,8333.752
53,114,951444,-114,1,61,8346
53,115,963074.938,28.865,1,62,8374.564
53,116,972300.688,96.628,1,63,8381.902
53,117,983315.875,26.208,1,64,8404.409
53,118,991922.188,19.706,1,65,8406.12
53,119,1002787.875,27.965,1,66,8426.789
53,120,1010846.625,15.36,1,67,8423.722
53,121,1021416.438,5.324,1,68,8441.458
53,122,1029316.875,5.246,1,69,8437.023
53,123,1039251.375,3.69,1,70,8449.198
53,124,1046744.688,2.356,1,71,8441.489
53,125,1056287.5,1.5,1,72,8450.3
53,126,1063433,3.78,1,73,8439.944
53,127,1072576.875,3.683,1,74,8445.487
53,128,1079403,3.584,1,75,8432.836
53,129,1088242.75,3.225,1,76,8435.99
53,130,1094743,3.12,1,77,8421.1
53,131,1103320.875,0.655,1,78,8422.297
53,132,1109653,4.092,1,79,8406.462
53,133,1117879.125,6.384,1,80,8405.106
53,134,1124135.5,4.824,1,81,8389.071
53,135,1131942.625,2.025,1,82,8384.76
53,136,1135780,14.144,1,83,8351.323
53,137,1140662.25,8.357,1,84,8326.002
53,138,1144357.375,5.934,1,85,8292.444
53,139,1148919.75,4.031,1,86,8265.609
53,140,1152126.125,12.04,1,87,8229.473
53,141,1156518,15.792,1,88,8202.255
53,142,1159432.75,374.454,1,89,8165.02
53,143,1163305,-143,1,90,8135
53,144,1166112,-432,1,91,8098
53,145,1169860,-435,1,92,8068
54,109,883696.375,300.077,1,55,8107.306
54,110,897520.75,100.98,1,56,8159.28
54,111,908065.063,86.691,1,57,8180.766
54,112,921767.25,8.288,1,58,8230.064
54,113,932015.75,6.893,1,59,8247.927
54,114,944969.375,11.172,1,60,8289.205
54,115,954611.5,12.075,1,61,8300.97
54,116,967072.75,12.992,1,62,8336.834
54,117,976282.75,10.413,1,63,8344.297
54,118,988247.813,10.384,1,64,8374.981
54,119,997034.5,10.353,1,65,8378.441
54,120,1008483.75,11.76,1,66,8404.031
54,121,1016863.688,10.285,1,67,8403.832
54,122,1027809,11.102,1,68,8424.664
54,123,1035774,9.594,1,69,8420.927
54,124,1046258.125,1.736,1,70,8437.565
54,125,1053861.25,1.875,1,71,8430.89
54,126,1063886.125,3.528,1,72,8443.541
54,127,1071132.125,4.064,1,73,8434.111
54,128,1080742.125,1.024,1,74,8443.298
54,129,1087649.25,0,1,75,8431.39
54,130,1096905.125,0,1,76,8437.731
54,131,1103509.5,0,1,77,8423.736
54,132,1112446.125,0,1,78,8427.622
54,133,1118882.125,2.394,1,79,8412.647
54,134,1127435.75,0,1,80,8413.699
54,135,1133794.25,3.78,1,81,8398.476
54,136,1141881.625,0,1,82,8396.188
54,137,1145907.25,0.137,1,83,8364.286
54,138,1151567.25,2.76,1,84,8344.69
54,139,1155311,2.085,1,85,8311.59
54,140,1160724.125,2.38,1,86,8290.887
54,141,1164006.375,2.82,1,87,8255.364
54,142,1169110,2.698,1,88,8233.169
54,143,1172154.5,4.719,1,89,8196.885
54,144,1176895.25,5.328,1,90,8172.884
54,145,1179587.625,11.165,1,91,8135.087
54,146,1184120.625,24.236,1,92,8110.415
54,147,1186584,-147,1,93,8072
54,148,1190956,-296,1,94,8047
55,111,895659,-222,1,56,8069
55,112,907248.75,86.8,1,57,8100.435
55,113,920794.313,8.588,1,58,8148.622
55,114,931783.313,71.136,1,59,8173.538
55,115,944840,-115,1,60,8216
55,116,955260,-116,1,61,8235
55,117,967808.125,62.361,1,62,8271.864
55,118,977795.688,12.744,1,63,8286.404
55,119,989762.75,13.923,1,64,8317.334
55,120,999417.625,9.96,1,65,8328.48
55,121,1010702.625,14.278,1,66,8352.914
55,122,1019816.438,33.672,1,67,8359.151
55,123,1030786.625,12.054,1,68,8380.379
55,124,1039545.5,8.308,1,69,8383.432
55,125,1049973.5,7.75,1,70,8399.788
55,126,1058307.75,10.458,1,71,8399.268
55,127,1068268.375,5.588,1,72,8411.562
55,128,1076031.125,5.504,1,73,8406.493
55,129,1085670,4.515,1,74,8416.047
55,130,1093142,8.32,1,75,8408.784
55,131,1102372.25,4.978,1,76,8415.056
55,132,1109537.5,1.056,1,77,8405.587
55,133,1118527,0,1,78,8409.978
55,134,1125418.625,0,1,79,8398.646
55,135,1134180.375,0.945,1,80,8401.336
55,136,1141008.625,1.904,1,81,8389.77
55,137,1149287,0.411,1,82,8388.956
55,138,1153699.5,9.108,1,83,8360.142
55,139,1159585,3.197,1,84,8342.338
55,140,1164005.5,8.26,1,85,8314.325
55,141,1169504.25,9.165,1,86,8294.356
55,142,1173612.5,7.1,1,87,8264.877
55,143,1178844.75,7.579,1,88,8243.67
55,144,1182512,20.16,1,89,8211.889
55,145,1187366.25,9.135,1,90,8188.733
55,146,1190693.625,2.92,1,91,8155.436
55,147,1195374.625,8.379,1,92,8131.8
55,148,1198436.75,13.024,1,93,8097.545
55,149,1202877,-447,1,94,8073
55,150,1205850,-450,1,95,8039
55,151,1209963,-453,1,96,8013
55,152,1212808,-456,1,97,7979
56,113,908068,-339,1,57,8036
56,114,922224.188,102.714,1,58,8089.686
56,115,933455,-230,1,59,8117
56,116,947024,-232,1,60,8164
56,117,957990.5,250.38,1,61,8187.953
56,118,970904,-236,1,62,8228
56,119,981265.375,200.277,1,63,8245.928
56,120,993635.25,300.12,1,64,8280.294
56,121,1003562.75,141.933,1,65,8293.907
56,122,1015498.188,27.938,1,66,8323.756
56,123,1024615.563,12.054,1,67,8330.208
56,124,1036121.75,12.524,1,68,8355.82
56,125,1044772.188,11,1,69,8358.178
56,126,1055844.5,12.474,1,70,8379.718
56,127,1064063.75,11.303,1,71,8378.455
56,128,1074695.625,5.248,1,72,8396.06
56,129,1082451.625,10.578,1,73,8391.098
56,130,1092721.375,2.6,1,74,8405.549
56,131,1100214.875,2.62,1,75,8398.587
56,132,1110037.5,1.056,1,76,8409.375
56,133,1117227.375,0.931,1,77,8400.206
56,134,1126694.875,0.268,1,78,8408.171
56,135,1133667,0.27,1,79,8397.533
56,136,1142774.625,0.272,1,80,8402.755
56,137,1149680.375,0.274,1,81,8391.827
56,138,1158292,0.276,1,82,8393.42
56,139,1163015.25,0.278,1,83,8367.017
56,140,1169442.375,7.98,1,84,8353.16
56,141,1173977,5.358,1,85,8326.078
56,142,1180157.875,5.964,1,86,8310.971
56,143,1184324.125,6.721,1,87,8281.987
56,144,1190225.375,7.2,1,88,8265.454
56,145,1194045.75,8.41,1,89,8234.798
56,146,1199548,20.878,1,90,8216.082
56,147,1202936.375,19.698,1,91,8183.241
56,148,1208337.25,63.048,1,92,8164.441
56,149,1211935.125,437.762,1,93,8133.793
56,150,1216800,-300,1,94,8112
56,151,1219929,-453,1,95,8079
56,152,1224664,-456,1,96,8057
56,153,1227519,-459,1,97,8023
56,154,1232000,-462,1,98,8000
57,116,932292,-348,1,59,8037
57,117,946179,-234,1,60,8087
57,118,957334,-354,1,61,8113
57,119,970683,-357,1,62,8157
57,120,981480,-240,1,63,8179
57,121,994257,-242,1,64,8217
57,122,1004670,-244,1,65,8235
57,123,1016841,-246,1,66,8267
57,124,1026508.188,56.668,1,67,8278.292
57,125,1038080.313,26,1,68,8304.643
57,126,1047365.625,90.468,1,69,8312.426
57,127,1058359.625,26.035,1,70,8333.54
57,128,1067160.375,54.4,1,71,8337.19
57,129,1077930.625,21.414,1,72,8356.052
57,130,1086304.875,26,1,73,8356.191
57,131,1096518.125,27.903,1,74,8370.367
57,132,1104543.75,36.3,1,75,8367.756
57,133,1114385.875,27.93,1,76,8378.841
57,134,1122181.375,19.966,1,77,8374.488
57,135,1131677.375,9.45,1,78,8382.795
57,136,1139142.75,53.176,1,79,8376.05
57,137,1148317.375,1.644,1,80,8381.879
57,138,1155767.25,3.174,1,81,8375.125
57,139,1164545.5,1.946,1,82,8378.025
57,140,1169706.5,1.96,1,83,8355.047
57,141,1176393.625,4.23,1,84,8343.217
57,142,1181557.625,6.248,1,85,8320.828
57,143,1187776.125,7.293,1,86,8306.127
57,144,1192525.625,12.96,1,87,8281.428
57,145,1198582.625,12.325,1,88,8266.087
57,146,1202868.875,33.58,1,89,8238.828
57,147,1208568.25,10.731,1,90,8221.553
57,148,1212670,19.536,1,91,8193.716
57,149,1218252.5,200.256,1,92,8176.191
57,150,1222233.75,435.45,1,93,8148.225
57,151,1227485.5,435.484,1,94,8129.043
57,152,1231504,-304,1,95,8102
57,153,1236393,-306,1,96,8081
57,154,1239854,-308,1,97,8051
57,155,1244340,-465,1,98,8028
57,156,1247532,-468,1,99,7997
58,119,959021,-476,1,61,8059
58,120,972840,-480,1,62,8107
58,121,983972,-363,1,63,8132
58,122,997228,-366,1,64,8174
58,123,1007739,-246,1,65,8193
58,124,1020396,-248,1,66,8229
58,125,1030250,-250,1,67,8242
58,126,1042430.375,27.972,1,68,8273.257
58,127,1051660.5,28.829,1,69,8280.791
58,128,1063286.375,27.904,1,70,8306.925
58,129,1072111.375,27.993,1,71,8310.94
58,130,1083318,27.95,1,72,8333.216
58,131,1091675,32.75,1,73,8333.396
58,132,1102508.625,20.46,1,74,8352.338
58,133,1110527.25,16.359,1,75,8349.829
58,134,1121013.375,20.368,1,76,8365.771
58,135,1128867.875,10.26,1,77,8361.984
58,136,1138831.375,0.408,1,78,8373.76
58,137,1146313,0.411,1,79,8367.248
58,138,1156036.625,4.968,1,80,8377.077
58,139,1163484.875,7.228,1,81,8370.395
58,140,1172684.375,1.54,1,82,8376.317
58,141,1178112.5,1.551,1,83,8355.408
58,142,1185284.125,2.556,1,84,8347.071
58,143,1190428.875,2.574,1,85,8324.678
58,144,1197325.375,2.88,1,86,8314.76
58,145,1202031.875,33.93,1,87,8289.875
58,146,1208671.75,16.352,1,88,8278.573
58,147,1213121.5,8.526,1,89,8252.527
58,148,1219577.25,11.248,1,90,8240.387
58,149,1223920,10.281,1,91,8214.229
58,150,1230168.25,11.7,1,92,8201.122
58,151,1234617.75,17.667,1,93,8176.276
58,152,1240472,-152,1,94,8161
58,153,1244502,-153,1,95,8134
58,154,1249864,-154,1,96,8116
58,155,1253485,-310,1,97,8087
58,156,1258608,-312,1,98,8068
58,157,1261809,-471,1,99,8037
58,158,1266528,-474,1,100,8016
59,121,971872,-484,1,62,8032
59,122,983320,-488,1,63,8060
59,123,996792,-369,1,64,8104
59,124,1007872,-372,1,65,8128
59,125,1020750,-250,1,66,8166
59,126,1031184,-252,1,67,8184
59,127,1043432,-254,1,68,8216
59,128,1053300.875,29.824,1,69,8228.913
59,129,1064815,29.799,1,70,8254.38
59,130,1074288.25,64.22,1,71,8263.756
59,131,1085484.625,47.029,1,72,8286.143
59,132,1094482.875,28.908,1,73,8291.537
59,133,1105264.25,12.502,1,74,8310.258
59,134,1113926,20.368,1,75,8312.881
59,135,1124405.25,11.88,1,76,8328.928
59,136,1132881,11.424,1,77,8330.008
59,137,1142813.75,8.083,1,78,8341.706
59,138,1150817.125,11.178,1,79,8339.255
59,139,1160573.5,7.784,1,80,8349.449
59,140,1168514.125,6.16,1,81,8346.529
59,141,1177912.875,1.692,1,82,8353.992
59,142,1183756,1.704,1,83,8336.31
59,143,1191108.125,1.859,1,84,8329.428
59,144,1196861.75,2.736,1,85,8311.54
59,145,1203808.375,7.105,1,86,8302.127
59,146,1208934.875,34.748,1,87,8280.376
59,147,1215769.25,15.876,1,88,8270.539
59,148,1220931.875,15.096,1,89,8249.54
59,149,1227507.125,9.834,1,90,8238.303
59,150,1232839.625,9,1,91,8218.931
59,151,1239390,11.627,1,92,8207.881
59,152,1244439.75,18.544,1,93,8187.104
59,153,1250321.5,11.934,1,94,8172.036
59,154,1254929.375,113.036,1,95,8148.892
59,155,1260311,17.205,1,96,8131.039
59,156,1264536,-156,1,97,8106
59,157,1269502,-314,1,98,8086
59,158,1273480,-316,1,99,8060
59,159,1278201,-477,1,100,8039
59,160,1281760,-320,1,101,8011
60,124,998448,-496,1,64,8052
60,125,1009625,-375,1,65,8077
60,126,1022994,-252,1,66,8119
60,127,1033653,-254,1,67,8139
60,128,1046528,-256,1,68,8176
60,129,1056510,-258,1,69,8190
60,130,1068926.625,27.95,1,70,8222.513
60,131,1078169.75,27.51,1,71,8230.304
60,132,1089898.875,24.156,1,72,8256.81
60,133,1098876.75,46.55,1,73,8262.231
60,134,1110262.125,11.792,1,74,8285.538
60,135,1118900.75,19.17,1,75,8288.153
60,136,1129957.625,11.832,1,76,8308.512
60,137,1138414.25,11.782,1,77,8309.593
60,138,1148919.25,11.592,1,78,8325.502
60,139,1156986.125,27.661,1,79,8323.642
60,140,1167302.5,3.5,1,80,8337.875
60,141,1175307.625,3.243,1,81,8335.515
60,142,1185136.25,1.42,1,82,8346.03
60,143,1191259.875,1.43,1,83,8330.488
60,144,1199076.75,1.296,1,84,8326.922
60,145,1204832,1.45,1,85,8309.187
60,146,1212397.375,1.314,1,86,8304.092
60,147,1217689.625,1.323,1,87,8283.603
60,148,1225022.125,2.072,1,88,8277.177
60,149,1230060.875,2.086,1,89,8255.442
60,150,1237436.625,1.35,1,90,8249.577
60,151,1242771.125,1.359,1,91,8230.272
60,152,1250048.75,24.472,1,92,8224.005
60,153,1255301,2.754,1,93,8204.582
60,154,1261867.125,52.668,1,94,8193.942
60,155,1266397.125,9.145,1,95,8170.304
60,156,1272658.25,199.992,1,96,8158.066
60,157,1276717.5,24.963,1,97,8131.958
60,158,1282328,-158,1,98,8116
60,159,1286151,-318,1,99,8089
60,160,1291680,-320,1,100,8073
60,161,1295084,-322,1,101,8044
60,162,1300212,-324,1,102,8026
61,126,1008630,-504,1,65,8005
61,127,1022096,-381,1,66,8048
61,128,1033216,-256,1,67,8072
61,129,1046319,-258,1,68,8111
61,130,1056900,-260,1,69,8130
61,131,1069222,-262,1,70,8162
61,132,1079364,-132,1,71,8177
61,133,1091169.625,50.274,1,72,8204.283
61,134,1100572.125,57.754,1,73,8213.225
61,135,1111956.75,75.465,1,74,8236.717
61,136,1121145.875,69.088,1,75,8243.72
61,137,1132120.25,13.015,1,76,8263.651
61,138,1141059.125,27.738,1,77,8268.544
61,139,1151690.5,13.622,1,78,8285.543
61,140,1160475,24.22,1,79,8289.107
61,141,1170855.625,13.959,1,80,8303.94
61,142,1179546,23.572,1,81,8306.662
61,143,1189435.875,3.003,1,82,8317.733
61,144,1195962.625,3.024,1,83,8305.296
61,145,1203885.25,2.9,1,84,8302.657
61,146,1210143.5,4.38,1,85,8288.654
61,147,1217802.75,1.47,1,86,8284.372
61,148,1223697.375,5.772,1,87,8268.226
61,149,1230967.375,2.235,1,88,8261.526
61,150,1236571.375,20.1,1,89,8243.81
61,151,1244431.75,4.681,1,90,8241.27
61,152,1250371.25,25.84,1,91,8226.127
61,153,1257836.25,9.027,1,92,8221.152
61,154,1263771.625,46.354,1,93,8206.31
61,155,1270270.875,4.65,1,94,8195.296
61,156,1275566,3.588,1,95,8176.705
61,157,1281770.75,7.065,1,96,8164.145
61,158,1286634.125,13.43,1,97,8143.254
61,159,1292170.625,10.017,1,98,8126.859
61,160,1296640,-160,1,99,8104
61,161,1302007,-322,1,100,8087
61,162,1306206,-324,1,101,8063
61,163,1311172,-326,1,102,8044
61,164,1314788,-328,1,103,8017
62,128,1023232,-512,1,66,7994
62,129,1034709,-516,1,67,8021
62,130,1048320,-390,1,68,8064
62,131,1059004,-393,1,69,8084
62,132,1071972,-264,1,70,8121
62,133,1082221,-266,1,71,8137
62,134,1094378,-134,1,72,8167
62,135,1103979.5,154.575,1,73,8177.626
62,136,1116004.625,12.512,1,74,8205.916
62,137,1125291.375,42.333,1,75,8213.806
62,138,1136834,11.868,1,76,8237.928
62,139,1145787.875,10.842,1,77,8243.078
62,140,1156934.875,12.46,1,78,8263.82
62,141,1165484.125,8.601,1,79,8265.845
62,142,1176608,3.124,1,80,8285.972
62,143,1185210,2.86,1,81,8288.182
62,144,1195729.75,1.584,1,82,8303.679
62,145,1202486.875,1.595,1,83,8293.013
62,146,1210903.125,3.066,1,84,8293.857
62,147,1217244.5,1.323,1,85,8280.575
62,148,1225385.625,1.332,1,86,8279.633
62,149,1231256.375,1.341,1,87,8263.466
62,150,1239243.125,1.35,1,88,8261.621
62,151,1244839.625,1.208,1,89,8243.971
62,152,1253097.25,1.216,1,90,8244.061
62,153,1258965.75,1.224,1,91,8228.534
62,154,1266932.625,1.386,1,92,8226.835
62,155,1272739.5,1.55,1,93,8211.223
62,156,1279980.5,8.58,1,94,8205.003
62,157,1285368.875,4.396,1,95,8187.063
62,158,1292012.875,4.898,1,96,8177.297
62,159,1297041.75,5.883,1,97,8157.495
62,160,1303140,5.92,1,98,8144.625
62,161,1307648.625,6.762,1,99,8122.041
62,162,1313658,-162,1,100,8109
62,163,1317855,-326,1,101,8085
62,164,1323316,-328,1,102,8069
62,165,1327095,-330,1,103,8043
62,166,1331984,-332,1,104,8024
63,130,1033630,-520,1,67,7951
63,131,1047345,-393,1,68,7995
63,132,1058376,-396,1,69,8018
63,133,1071448,-266,1,70,8056
63,134,1082184,-268,1,71,8076
63,135,1094445,-135,1,72,8107
63,136,1104592,-136,1,73,8122
63,137,1116628.5,4.384,1,74,8150.573
63,138,1126303.625,27.876,1,75,8161.621
63,139,1138023.25,13.205,1,76,8187.218
63,140,1147682.5,51.52,1,77,8197.732
63,141,1158693.375,12.69,1,78,8217.684
63,142,1168152.625,30.104,1,79,8226.427
63,143,1179151.875,11.011,1,80,8245.817
63,144,1188600.875,10.8,1,81,8254.173
63,145,1199044.75,3.045,1,82,8269.274
63,146,1206242,5.986,1,83,8261.932
63,147,1214740.5,2.646,1,84,8263.541
63,148,1221566.375,10.064,1,85,8253.827
63,149,1229779.5,4.023,1,86,8253.554
63,150,1236201.875,6.3,1,87,8241.346
63,151,1244133.875,1.359,1,88,8239.297
63,152,1250440.625,1.368,1,89,8226.583
63,153,1258991,1.377,1,90,8228.699
63,154,1265433,1.386,1,91,8217.098
63,155,1273584.5,1.395,1,92,8216.674
63,156,1279920.25,3.588,1,93,8204.617
63,157,1287367.75,4.239,1,94,8199.795
63,158,1293235.5,10.27,1,95,8185.035
63,159,1300094.75,4.293,1,96,8176.697
63,160,1305603.375,9.44,1,97,8160.021
63,161,1311985.75,10.465,1,98,8148.98
63,162,1316969,35.154,1,99,8129.438
63,163,1322821.75,65.526,1,100,8115.471
63,164,1327744,-164,1,101,8096
63,165,1333200,-165,1,102,8080
63,166,1337794,-332,1,103,8059
63,167,1342680,-334,1,104,8040
63,168,1346352,-504,1,105,8014
64,133,1059212,-532,1,69,7964
64,134,1072804,-402,1,70,8006
64,135,1083915,-405,1,71,8029
64,136,1096704,-272,1,72,8064
64,137,1106960,-274,1,73,8080
64,138,1119594,-138,1,74,8113
64,139,1129514,-139,1,75,8126
64,140,1141696.5,28,1,76,8154.975
64,141,1151209.75,19.74,1,77,8164.608
64,142,1163016.375,27.974,1,78,8190.256
64,143,1172359.5,200.343,1,79,8198.318
64,144,1183958.875,27.936,1,80,8221.937
64,145,1193197.25,19.72,1,81,8228.946
64,146,1204427.875,4.088,1,82,8249.506
64,147,1211770.375,1.911,1,83,8243.336
64,148,1220754,1.628,1,84,8248.338
64,149,1227683.125,3.427,1,85,8239.484
64,150,1236391.375,6.15,1,86,8242.609
64,151,1242887.5,3.02,1,87,8231.043
64,152,1251477,1.216,1,88,8233.401
64,153,1257724,1.224,1,89,8220.418
64,154,1266618.625,1.232,1,90,8224.796
64,155,1273053.875,1.24,1,91,8213.251
64,156,1281590.25,1.248,1,92,8215.322
64,157,1287950.125,1.256,1,93,8203.504
64,158,1295887.5,1.264,1,94,8201.819
64,159,1301830.625,1.113,1,95,8187.614
64,160,1309282.25,1.28,1,96,8183.014
64,161,1314917.75,1.61,1,97,8167.191
64,162,1321763.75,4.05,1,98,8159.036
64,163,1326868.375,8.476,1,99,8140.297
64,164,1333320,-164,1,100,8130
64,165,1338150,-165,1,101,8110
64,166,1344268,-166,1,102,8098
64,167,1348692,-334,1,103,8076
64,168,1354248,-336,1,104,8061
64,169,1358084,-507,1,105,8036
64,170,1363400,-680,1,106,8020
65,135,1071630,-405,1,70,7938
65,136,1082968,-544,1,71,7963
65,137,1095863,-411,1,72,7999
65,138,1106622,-276,1,73,8019
65,139,1119228,-278,1,74,8052
65,140,1129614,800.52,1,75,8068.671
65,141,1141744,105.327,1,76,8097.475
65,142,1151834,700.628,1,77,8111.507
65,143,1163765,51.194,1,78,8138.217
65,144,1173785.375,27.936,1,79,8151.287
65,145,1185876.875,109.185,1,80,8178.461
65,146,1195323.375,44.822,1,81,8187.146
65,147,1206373.75,8.085,1,82,8206.624
65,148,1214239.5,12.432,1,83,8204.321
65,149,1223262.5,3.725,1,84,8209.815
65,150,1230950.625,7.35,1,85,8206.338
65,151,1239539.875,4.077,1,86,8208.873
65,152,1246704.625,39.976,1,87,8202.004
65,153,1255372.375,3.978,1,88,8205.048
65,154,1262286.625,45.276,1,89,8196.666
65,155,1271451.625,9.92,1,90,8202.914
65,156,1278363.625,3.744,1,91,8194.639
65,157,1287107.625,1.256,1,92,8198.138
65,158,1293886.125,1.422,1,93,8189.153
65,159,1302019.125,1.272,1,94,8188.799
65,160,1308394.375,1.28,1,95,8177.465
65,161,1316091.125,1.288,1,96,8174.479
65,162,1322376.75,36.45,1,97,8162.819
65,163,1329368.125,4.075,1,98,8155.633
65,164,1334921.5,100.04,1,99,8139.765
65,165,1341450,-165,1,100,8130
65,166,1346870.875,70.052,1,101,8113.68
65,167,1353034,-167,1,102,8102
65,168,1357776,-336,1,103,8082
65,169,1363492,-338,1,104,8068
65,170,1367990,-340,1,105,8047
65,171,1373301,-513,1,106,8031
65,172,1377204,-516,1,107,8007
66,138,1097100,-552,1,72,7950
66,139,1107969,-556,1,73,7971
66,140,1121120,-420,1,74,8008
66,141,1131807,-282,1,75,8027
66,142,1144662,-710,1,76,8061
66,143,1154732.375,13.013,1,77,8075.052
66,144,1167204.75,7.2,1,78,8105.588
66,145,1176948.75,6.525,1,79,8116.888
66,146,1189332.375,6.716,1,80,8146.112
66,147,1199044.75,8.82,1,81,8156.767
66,148,1210779.5,8.732,1,82,8180.942
66,149,1218687.25,9.238,1,83,8179.109
66,150,1228372.375,4.35,1,84,8189.149
66,151,1235886.375,3.322,1,85,8184.678
66,152,1245323.25,4.56,1,86,8192.916
66,153,1252419.625,3.978,1,87,8185.749
66,154,1261741.875,7.392,1,88,8193.129
66,155,1268574.875,9.61,1,89,8184.354
66,156,1278019.5,1.248,1,90,8192.433
66,157,1284986.375,5.181,1,91,8184.626
66,158,1294040.5,2.37,1,92,8190.13
66,159,1300871.75,1.59,1,93,8181.583
66,160,1309448.625,0.8,1,94,8184.054
66,161,1315902.875,0.805,1,95,8173.31
66,162,1324100,0.81,1,96,8173.457
66,163,1330371,0.815,1,97,8161.785
66,164,1338029.125,0.82,1,98,8158.714
66,165,1343745,0.825,1,99,8143.909
66,166,1350788.5,0.83,1,100,8137.28
66,167,1356205.75,60.287,1,101,8120.993
66,168,1362906.125,139.944,1,102,8112.537
66,169,1368015,300.651,1,103,8094.763
66,170,1374110,-170,1,104,8083
66,171,1378773,-342,1,105,8063
66,172,1384600,-344,1,106,8050
66,173,1388671,-346,1,107,8027
66,174,1394088,-522,1,108,8012
67,140,1106840,-560,1,73,7906
67,141,1119963,-423,1,74,7943
67,142,1131030,-426,1,75,7965
67,143,1143857,-286,1,76,7999
67,144,1154462,8.496,1,77,8017.097
67,145,1167043.875,7.395,1,78,8048.579
67,146,1177233.375,6.57,1,79,8063.242
67,147,1189823.5,4.998,1,80,8094.038
67,148,1200128.875,83.768,1,81,8108.979
67,149,1211855.5,11.92,1,82,8133.258
67,150,1220226.25,14.1,1,83,8134.842
67,151,1229974.375,8.305,1,84,8145.526
67,152,1238027.625,12.464,1,85,8144.918
67,153,1247506.5,5.049,1,86,8153.637
67,154,1255204.875,8.162,1,87,8150.681
67,155,1264676.5,17.515,1,88,8159.203
67,156,1272187.125,60.06,1,89,8155.046
67,157,1281612.375,23.393,1,90,8163.136
67,158,1289038.5,27.176,1,91,8158.472
67,159,1298251.75,3.021,1,92,8165.105
67,160,1305376.375,15.04,1,93,8158.603
67,161,1314262.125,2.254,1,94,8163.119
67,162,1321177.75,3.24,1,95,8155.418
67,163,1329585.75,0.815,1,96,8156.968
67,164,1336260.375,1.476,1,97,8147.929
67,165,1344249,0.99,1,98,8146.964
67,166,1350492.875,0.996,1,99,8135.499
67,167,1357773.25,5.177,1,100,8130.379
67,168,1363625.25,30.072,1,101,8116.817
67,169,1370432.5,20.111,1,102,8109.068
67,170,1375945.25,49.98,1,103,8093.795
67,171,1382297,600.039,1,104,8083.608
67,172,1387352,-172,1,105,8066
67,173,1393342,-346,1,106,8054
67,174,1397742,-348,1,107,8033
67,175,1403325,-350,1,108,8019
67,176,1407472,-528,1,109,7997
68,142,1120948,-568,1,74,7894
68,143,1132274,-429,1,75,7918
68,144,1145664,-144,1,76,7956
68,145,1156375,-145,1,77,7975
68,146,1169534.75,6.716,1,78,8010.512
68,147,1179891.875,38.22,1,79,8026.475
68,148,1192834.375,10.212,1,80,8059.692
68,149,1203168.25,28.012,1,81,8074.955
68,150,1215329.25,17.25,1,82,8102.195
68,151,1223835.625,16.459,1,83,8104.872
68,152,1234141.125,8.816,1,84,8119.35
68,153,1242180.5,9.333,1,85,8118.827
68,154,1252388.375,4.928,1,86,8132.392
68,155,1260063.75,6.045,1,87,8129.443
68,156,1270137.625,24.648,1,88,8141.908
68,157,1277410.875,26.533,1,89,8136.375
68,158,1287372.25,25.28,1,90,8147.926
68,159,1294700.875,3.657,1,91,8142.773
68,160,1304275.375,24.32,1,92,8151.721
68,161,1311484.125,8.855,1,93,8145.864
68,162,1320688.25,0.81,1,94,8152.396
68,163,1327592.875,4.564,1,95,8144.742
68,164,1336439.25,0.82,1,96,8149.02
68,165,1343089.5,0.99,1,97,8139.937
68,166,1351565.25,1.162,1,98,8141.959
68,167,1358001.625,1.169,1,99,8131.746
68,168,1365773,1.176,1,100,8129.601
68,169,1371776.25,1.183,1,101,8117.019
68,170,1379033,1.53,1,102,8111.959
68,171,1384714.625,1.539,1,103,8097.747
68,172,1391550.5,3.956,1,104,8090.41
68,173,1396802,-173,1,105,8074
68,174,1403136,-348,1,106,8064
68,175,1407875,-350,1,107,8045
68,176,1413984,-352,1,108,8034
68,177,1418301,-531,1,109,8013
68,178,1423822,-534,1,110,7999
